AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
Karapakkam,1591,184,2,2,4,Normal Sale,No,House,ELO,Paved,RM,4,4,4,4,395595,87910,8791000
Karapakkam,1265,81,1,1,3,Family,Yes,Commercial,ELO,Paved,I,3,4,2,3,401080,90243,10027000
Adyar,870,5,1,1,3,AbNormal,Yes,Commercial,All Pub,Paved,I,2,3,2,2,411107,44444,11111010
Adyar,1122,178,1,1,3,Normal Sale,Yes,Others,All Pub,No Access,C,4,2,4,4,292369,17198,8599095
Adyar,613,172,1,1,2,AbNormal,Yes,Others,NoSewage,Paved,I,2,2,4,3,241316,73735,6703210
Velachery,1670,52,2,1,4,AbNormal,Yes,House,ELO,Paved,A,4,4,4,4,309829,81534,8153390
KK Nagar,1338,116,2,1,4,Normal Sale,No,Commercial,All Pub,Gravel,RL,3,3,2,3,411103,231246,12846980
KK Nagar,1319,129,1,1,3,AbNormal,No,Others,NoSewage,Paved,RH,3,3,3,3,375685,86095,7826780
KK Nagar,1710,130,2,1,4,Family,Yes,House,NoSewage,Paved,RM,2,3,2,2,395213,197607,10978140
Anna Nagar,1938,71,2,1,5,Partial,Yes,House,ELO,No Access,RH,3,4,2,3,342263,118022,11802180
Karapakkam,1058,39,1,1,3,Normal Sale,Yes,Others,NoSewage,No Access,RM,2,4,4,3,260044,159382,8388500
Chrompet,1251,133,2,1,4,AbNormal,No,Commercial,All Pub,Gravel,RL,3,3,2,3,370236,213598,14239850
Anna Nagar,1710,32,1,1,4,Partial,No,Commercial,NoSewage,Gravel,RH,3,3,3,3,603899,347700,18299980
Adyar,617,89,1,1,2,Partial,No,Others,NoSewage,Paved,C,3,3,4,3,186882,54097,4917940
Adyar,916,107,1,1,3,Partial,No,Others,All Pub,Gravel,A,2,2,2,2,228552,30885,6177070
Chrompet,1027,47,1,1,3,Family,No,House,ELO,No Access,RM,2,2,4,3,207122,61370,7671200
Adyar,1223,99,2,2,4,Partial,No,Others,All Pub,No Access,A,4,3,4,4,248308,27590,6897450
KK Nagar,1422,113,2,1,4,Family,Yes,Commercial,NoSewage,Paved,RM,4,4,4,4,683088,153346,13940580
Chrompet,1081,93,1,1,3,AbNormal,Yes,Commercial,All Pub,No Access,RH,2,4,3,3,358733,49480,12370100
Velachery,1603,138,2,1,4,AbNormal,Yes,Commercial,NoSewage,Gravel,I,3,2,4,3,564106,155129,14102650
Anna Nagar,1762,3,1,1,4,AdjLand,Yes,Others,NoSewage,Paved,RL,3,4,2,3,411112,249604,14682580
Adyar,1219,108,2,2,4,Family,No,House,NoSewage,No Access,I,2,3,2,2,281210,59202,7400260
KK Nagar,1953,30,3,2,5,AbNormal,Yes,House,NoSewage,Paved,RH,4,4,3,4,483582,216069,10288980
Karapakkam,1208,198,1,1,3,AbNormal,No,Others,NoSewage,Gravel,C,4,4,4,4,229599,51022,6377750
Karapakkam,849,173,1,1,2,Partial,Yes,Commercial,NoSewage,Paved,A,2,2,4,3,214634,145193,6312750
Karapakkam,522,95,1,1,2,AbNormal,No,House,All Pub,Gravel,C,4,4,2,3,205049,109069,4362750
Karapakkam,1610,195,2,2,4,Partial,No,Commercial,NoSewage,Gravel,RL,3,3,3,3,525851,225365,12520250
KK Nagar,1945,72,3,2,5,AbNormal,Yes,House,NoSewage,Gravel,RH,2,3,2,2,509220,108345,10834460
Adyar,884,161,1,1,3,Normal Sale,Yes,Others,NoSewage,No Access,RM,2,3,3,2,282790,113116,9426345
Karapakkam,668,43,1,1,2,Partial,No,House,All Pub,Gravel,RH,4,4,5,4,204068,78488,5232500
Karapakkam,740,150,1,1,2,AbNormal,No,House,All Pub,Paved,RH,2,4,4,3,211320,95094,5283000
Adyar,1158,188,1,1,3,Family,Yes,Others,NoSewage,Gravel,RH,3,2,3,3,385410,62499,10416480
Velachery,1840,21,3,2,5,AdjLand,Yes,Commercial,All Pub,Gravel,I,2,2,2,2,518607,235731,15715370
Chrompet,829,18,1,1,3,Normal Sale,Yes,House,NoSewage,Gravel,RM,2,2,3,2,293758,128519,9179950
Anna Nagar,1650,22,1,1,4,AbNormal,No,Commercial,NoSewage,No Access,RH,3,2,2,2,547681,239610,17115030
Anna Nagar,1663,64,1,1,4,Partial,No,Others,NoSewage,Gravel,RL,4,2,4,4,411826,154435,12869560
Velachery,1913,164,3,2,5,Partial,No,House,NoSewage,No Access,A,4,4,4,4,267167,119522,7030720
Velachery,1963,195,3,2,5,AbNormal,No,House,NoSewage,Paved,C,2,2,3,2,336842,103644,8636980
T Nagar,1806,48,2,1,5,AdjLand,No,Others,NoSewage,Paved,RM,4,3,4,4,439164,102472,14638800
Velachery,1630,78,2,1,4,Partial,No,House,All Pub,Gravel,A,4,4,2,4,283900,94633,7279480
Karapakkam,1016,69,1,1,3,AbNormal,No,House,NoSewage,Gravel,A,3,2,3,2,170003,80528,4473750
T Nagar,1823,0,2,1,5,Partial,Yes,Commercial,ELO,No Access,RM,2,3,2,2,513194,164222,20527770
Chrompet,1185,92,1,1,3,AdjLand,No,Commercial,All Pub,No Access,RH,3,3,3,3,384019,99102,12387700
Karapakkam,1478,71,2,2,4,Normal Sale,No,House,ELO,No Access,A,4,4,4,4,182809,62423,4458750
Chrompet,875,176,1,1,3,Partial,Yes,House,ELO,Gravel,RL,2,2,2,2,239050,68300,8537500
KK Nagar,2087,31,3,2,5,Partial,Yes,House,All Pub,Gravel,RH,5,4,3,4,369686,254159,11552700
Anna Nagar,1970,180,2,1,5,Partial,Yes,House,ELO,Paved,RL,2,2,3,2,383698,68518,13703500
Velachery,1645,35,2,1,4,Partial,Yes,Commercial,NoSewage,No Access,RH,5,3,2,3,459380,194888,13920600
T Nagar,1856,76,2,1,5,Normal Sale,No,Commercial,NoSewage,Paved,RH,3,3,3,3,684272,136854,19550620
Velachery,1782,110,2,1,4,AdjLand,Yes,Commercial,NoSewage,Gravel,RH,4,2,4,3,642746,208892,16068640
Karapakkam,1465,192,2,2,4,AbNormal,Yes,House,All Pub,Paved,A,2,3,3,3,300659,83161,6397000
KK Nagar,2439,162,4,2,6,Partial,No,House,NoSewage,Gravel,RH,4,4,4,4,366951,111197,11119720
KK Nagar,1693,119,2,1,4,AbNormal,No,Others,All Pub,Gravel,RM,3,4,3,3,411540,182907,11431660
Anna Nagar,1737,174,1,1,4,AdjLand,No,Others,NoSewage,Paved,RH,3,2,4,3,319831,115139,12793250
Karapakkam,1111,91,1,1,3,Partial,Yes,House,All Pub,Gravel,RM,3,2,3,3,284831,129469,8631250
KK Nagar,2485,50,4,2,6,Normal Sale,No,Commercial,All Pub,Paved,RL,3,2,2,2,740382,379683,18984160
Velachery,1568,110,2,1,4,AdjLand,Yes,Others,NoSewage,Gravel,RM,2,4,3,3,471795,161404,12415670
Karapakkam,512,4,1,1,2,Family,No,Commercial,NoSewage,Gravel,C,3,3,3,3,167824,41956,5244500
Chrompet,958,51,1,1,3,AbNormal,No,Commercial,All Pub,No Access,RH,4,2,3,3,353778,96485,10720550
T Nagar,1565,35,1,1,4,AbNormal,Yes,Commercial,NoSewage,Gravel,RM,3,2,2,2,787401,255905,19685020
KK Nagar,1706,67,2,1,4,AbNormal,Yes,Commercial,NoSewage,Paved,RH,3,4,4,4,662406,244802,14400140
Velachery,1616,33,2,1,4,Normal Sale,Yes,House,NoSewage,Paved,RM,5,3,2,3,373484,80753,10094160
Anna Nagar,1531,35,1,1,4,AbNormal,No,Commercial,NoSewage,Paved,RL,4,3,3,3,681741,139844,17480550
Anna Nagar,1636,5,1,1,4,AbNormal,Yes,Others,NoSewage,Gravel,RH,4,3,2,3,521841,214088,13380530
KK Nagar,1997,58,3,2,5,AdjLand,Yes,Commercial,NoSewage,Paved,RH,3,3,2,2,625841,345860,16469500
Chrompet,915,125,1,1,3,Partial,Yes,Others,NoSewage,Paved,RH,3,2,3,3,243999,40667,8133300
Adyar,1046,138,1,1,3,Normal Sale,No,Commercial,NoSewage,No Access,I,4,2,2,2,408888,129123,10760220
KK Nagar,1465,11,2,1,4,AdjLand,No,House,NoSewage,Gravel,RM,4,3,2,3,507409,182667,10148180
KK Nagar,1399,184,2,1,4,Partial,Yes,Others,NoSewage,Gravel,RM,4,3,3,3,427814,106953,10695340
Chrompet,1126,96,1,1,3,Family,No,Others,ELO,Gravel,RH,2,3,3,3,293130,79944,8882720
Karapakkam,1368,144,2,2,4,Family,No,House,All Pub,Paved,RH,2,2,2,2,311639,108396,6774750
Chrompet,709,156,1,1,2,Family,No,House,NoSewage,No Access,RL,4,3,5,4,199494,19306,6435300
T Nagar,1550,39,1,1,4,Normal Sale,No,House,ELO,Paved,RL,2,2,2,2,399932,144420,11109230
Velachery,1882,99,3,2,5,Partial,Yes,Commercial,NoSewage,Paved,A,3,4,4,4,512612,199349,14239220
Anna Nagar,1538,62,1,1,4,Partial,Yes,House,NoSewage,Gravel,RH,3,3,3,3,294136,90503,11312920
Velachery,1881,169,3,2,5,Family,No,Commercial,NoSewage,Paved,RH,2,2,3,2,565335,260924,14495770
Adyar,641,168,1,1,2,AdjLand,No,Commercial,NoSewage,Paved,RL,2,2,3,2,348175,89531,9947855
Anna Nagar,1912,53,2,1,5,Normal Sale,No,House,NoSewage,Paved,RH,4,2,4,3,358580,74189,12364840
Chrompet,1194,116,1,1,3,Partial,Yes,Commercial,NoSewage,Gravel,RH,2,4,3,3,424193,150520,13683650
Karapakkam,1502,114,2,2,4,Normal Sale,Yes,House,ELO,Gravel,RL,5,2,4,4,391787,233206,9328250
Anna Nagar,1649,145,1,1,4,Partial,No,Commercial,ELO,Gravel,RL,4,4,3,3,564110,131626,18803650
Karapakkam,854,118,1,1,2,Partial,No,House,All Pub,Gravel,RM,2,3,4,3,280525,98563,7581750
KK Nagar,2388,147,4,2,6,Family,Yes,House,All Pub,Paved,RH,3,2,2,2,600726,240290,12014520
Karapakkam,1381,138,2,2,4,AdjLand,No,House,NoSewage,Gravel,RH,2,4,2,3,281733,107721,8286250
Chrompet,838,33,1,1,3,Partial,Yes,Commercial,NoSewage,Gravel,RM,2,4,4,3,402420,195113,12194550
KK Nagar,1684,71,2,1,4,AbNormal,Yes,Commercial,All Pub,Paved,RL,2,3,3,3,674768,299897,14994840
Anna Nagar,1740,36,1,1,4,AdjLand,Yes,House,NoSewage,Gravel,RL,4,4,2,3,479359,219136,13695970
T Nagar,1918,78,2,1,5,Family,Yes,Commercial,NoSewage,No Access,RL,4,3,4,4,746911,207475,20747530
Karapakkam,669,154,1,1,2,AbNormal,No,Others,NoSewage,No Access,RL,4,4,4,4,168634,127753,5110125
Chrompet,965,92,1,1,3,Normal Sale,No,Others,NoSewage,Gravel,RM,3,4,3,4,250258,163630,9625300
Velachery,1899,91,3,2,5,Normal Sale,No,House,NoSewage,Paved,C,3,4,3,3,295169,75901,8433410
Velachery,1553,52,2,1,4,Partial,No,House,ELO,No Access,I,4,3,2,3,216526,87964,6766430
Karapakkam,976,90,1,1,3,AbNormal,Yes,House,NoSewage,Paved,RH,3,2,2,2,262029,165492,6895500
Anna Nagar,1628,133,1,1,4,AdjLand,No,House,All Pub,Gravel,RL,2,2,2,2,493410,151819,12651550
Chrompet,894,117,1,1,3,Partial,Yes,Others,All Pub,Paved,RL,3,3,5,4,235008,153659,9038780
Anna Nagar,1734,86,1,1,4,AbNormal,No,House,ELO,No Access,RH,3,4,2,3,409406,199454,10497580
Karapakkam,662,140,1,1,2,Family,No,Commercial,All Pub,No Access,I,3,2,2,2,248602,111617,5073500
Adyar,994,106,1,1,3,Normal Sale,No,Commercial,All Pub,Gravel,A,2,4,2,3,433395,54174,10834880
Chrompet,1033,4,1,1,3,Partial,No,Commercial,NoSewage,No Access,RM,4,2,4,3,304689,117188,11718800
Karapakkam,1462,182,2,2,4,Partial,No,House,ELO,No Access,A,4,2,2,3,213714,95953,4361500
Anna Nagar,1662,18,1,1,4,Normal Sale,Yes,Commercial,ELO,No Access,RL,3,4,3,3,610395,362422,19074830
KK Nagar,1865,103,3,2,5,Family,No,House,All Pub,Gravel,RH,4,4,4,4,414093,128172,9859360
Karapakkam,1042,47,1,1,3,Normal Sale,Yes,Others,ELO,Paved,A,2,3,3,2,163223,126366,5265250
Chrompet,828,116,1,1,3,AdjLand,No,Others,NoSewage,No Access,RL,4,3,2,3,249251,105743,7553060
Chrompet,850,122,1,1,3,Normal Sale,No,House,NoSewage,Paved,RH,2,2,4,2,213713,85485,7123750
Karapakkam,1562,8,2,2,4,Family,Yes,Commercial,NoSewage,No Access,RH,3,3,4,3,488437,249898,11359000
KK Nagar,1425,182,2,1,4,AbNormal,Yes,House,All Pub,Gravel,RH,2,4,2,2,292863,234290,9762100
Anna Nagar,1813,169,2,1,5,Partial,No,Others,All Pub,No Access,RL,3,4,3,3,321634,136076,12370550
Velachery,1973,91,3,2,5,AdjLand,No,House,NoSewage,Gravel,C,2,3,3,2,322667,152370,8962970
Anna Nagar,1558,168,1,1,4,Normal Sale,No,House,NoSewage,Paved,RH,2,4,4,3,411987,140943,10841760
Velachery,1702,104,2,1,4,Partial,Yes,House,NoSewage,No Access,RM,4,4,4,4,395487,202814,10140700
T Nagar,1781,187,1,1,4,Family,No,Commercial,NoSewage,No Access,RH,2,4,2,2,646524,89795,17959010
T Nagar,1538,32,1,1,4,Family,Yes,Commercial,ELO,Paved,RH,4,3,3,3,638976,212992,17749320
Velachery,1906,81,3,2,5,Family,Yes,Commercial,NoSewage,Paved,RH,4,4,4,4,564492,215835,16602700
Anna Nagar,1782,48,1,1,4,AbNormal,Yes,Others,NoSewage,Paved,RM,3,3,4,3,539289,179763,14980260
Adyar,848,46,1,1,3,Partial,Yes,Commercial,NoSewage,Paved,RH,4,3,4,4,413166,68861,11476830
Chrompet,737,137,1,1,2,Normal Sale,Yes,Commercial,NoSewage,No Access,RL,4,3,3,4,267181,71933,10276200
T Nagar,1512,55,1,1,4,Normal Sale,Yes,Others,ELO,Paved,RM,3,3,2,2,549504,164851,13737610
KK Nagar,1956,29,3,2,5,Normal Sale,Yes,House,NoSewage,Paved,RL,2,2,3,3,477705,261600,11373920
KK Nagar,1402,61,2,1,4,Partial,No,Commercial,NoSewage,Gravel,RM,4,3,2,3,484166,248626,13085580
Chrompet,779,119,1,1,2,Family,Yes,Others,NoSewage,Paved,RH,2,3,3,3,196946,106048,7574830
Anna Nagar,1625,118,1,1,4,AbNormal,No,Others,NoSewage,Gravel,RH,2,4,4,3,314222,84598,12085470
Anna Nagar,1724,136,1,1,4,AbNormal,No,Others,ELO,Paved,RH,4,3,2,3,444151,160388,12337540
KK Nagar,2277,181,4,2,6,AbNormal,Yes,Others,NoSewage,Gravel,RL,2,4,4,3,412626,226279,13310520
T Nagar,1692,24,1,1,4,Family,Yes,Others,NoSewage,Paved,RL,4,4,3,3,437437,164039,13669910
Chrompet,1184,105,1,1,3,Partial,Yes,Commercial,NoSewage,No Access,RM,3,4,2,3,429680,166328,13860650
Karapakkam,657,63,1,1,2,Family,No,Others,ELO,No Access,I,4,4,4,4,112960,72878,3643875
Chrompet,942,191,1,1,3,AdjLand,No,House,NoSewage,No Access,RL,2,5,4,4,225230,93199,7766550
Velachery,1535,93,2,1,4,Partial,Yes,Commercial,NoSewage,Gravel,RL,2,2,2,2,440567,127907,14211850
Chrompet,966,18,1,1,3,AbNormal,Yes,Commercial,NoSewage,Paved,RM,4,4,3,4,436651,79391,13231850
Karapakkam,1294,81,1,1,3,AdjLand,Yes,Others,NoSewage,No Access,RM,4,3,4,4,338948,155733,9160750
KK Nagar,2042,3,3,2,5,AbNormal,Yes,Others,NoSewage,Paved,RH,4,4,5,4,485789,165879,11848520
Adyar,1110,53,1,1,3,Normal Sale,Yes,Others,NoSewage,Gravel,A,2,3,4,3,342442,94172,8561060
Chrompet,819,77,1,1,3,AdjLand,Yes,House,NoSewage,Paved,RH,2,3,4,3,268353,138242,8131900
Chrompet,1132,10,1,1,3,Normal Sale,No,Commercial,NoSewage,Paved,RM,4,3,2,3,411291,54839,13709700
Adyar,900,20,1,1,3,AdjLand,Yes,Others,NoSewage,Gravel,RL,2,4,2,2,313982,30385,10128440
KK Nagar,2486,68,4,2,6,AbNormal,Yes,Commercial,NoSewage,Gravel,RH,4,4,2,3,941567,470784,19615980
Karapakkam,896,107,1,1,3,Normal Sale,Yes,Commercial,NoSewage,No Access,A,3,2,3,3,216496,74421,6765500
Velachery,1749,31,2,1,4,AbNormal,Yes,Commercial,All Pub,Gravel,RH,2,2,3,2,569379,323161,15388610
Chrompet,1252,54,2,1,4,Normal Sale,Yes,Commercial,NoSewage,Paved,RL,3,4,2,3,491781,223537,14902450
Chrompet,1234,6,2,1,4,Partial,No,Commercial,NoSewage,Paved,RM,2,4,4,4,345554,55289,13822150
KK Nagar,2306,49,4,2,6,Family,Yes,House,NoSewage,Paved,RH,3,2,2,2,362217,203747,11319280
Chrompet,814,126,1,1,3,AbNormal,No,Others,NoSewage,Gravel,RM,3,2,4,3,293401,115582,8890930
Chrompet,878,48,1,1,3,Partial,No,Others,All Pub,Gravel,RM,2,4,3,3,248653,138140,9209360
Chrompet,1053,176,1,1,3,Family,No,Commercial,NoSewage,Gravel,RM,4,2,2,3,383305,185044,13217400
T Nagar,1809,192,2,1,5,Family,No,Commercial,NoSewage,Paved,RL,3,2,3,3,621070,280483,20034510
Anna Nagar,1871,25,2,1,5,Normal Sale,No,Others,All Pub,Gravel,RM,3,4,2,3,447127,134138,14904220
Chrompet,802,92,1,1,3,AbNormal,Yes,Commercial,ELO,No Access,RH,2,5,2,3,311094,145826,9721700
Chrompet,1191,189,1,1,3,Partial,Yes,House,ELO,Gravel,RL,4,2,3,3,257245,69258,9894050
Adyar,1025,170,1,1,3,AdjLand,No,Others,All Pub,Gravel,RM,4,4,5,4,325308,32531,10843610
KK Nagar,1392,74,2,1,4,Family,No,Commercial,NoSewage,Paved,RL,2,2,4,3,454595,196582,12286360
KK Nagar,2499,200,4,2,6,Normal Sale,Yes,Others,NoSewage,Paved,RH,4,4,3,4,535917,334948,13397920
Karapakkam,1290,100,1,1,3,AbNormal,Yes,House,ELO,Gravel,RL,5,3,2,3,287117,165310,8700500
Anna Nagar,1760,34,1,1,4,Family,Yes,Commercial,All Pub,Paved,RL,2,2,2,2,752815,345888,20346350
Chrompet,1279,126,2,1,4,Normal Sale,No,Others,ELO,Paved,RL,3,2,3,3,323259,127344,9795730
Chrompet,816,183,1,1,3,Partial,No,Commercial,NoSewage,Gravel,RH,4,2,3,3,320259,150122,10008100
T Nagar,1904,141,2,1,5,AdjLand,No,Commercial,ELO,Gravel,RH,3,3,2,2,604317,395932,20838520
KK Nagar,1502,193,2,1,4,Normal Sale,No,Commercial,NoSewage,Paved,RH,4,4,4,4,466735,126145,12614460
Chrompet,922,163,1,1,3,Partial,Yes,Others,NoSewage,Paved,RH,3,4,3,3,215866,103616,8634640
T Nagar,1781,142,1,1,4,AdjLand,No,Commercial,NoSewage,Paved,RL,4,4,5,4,800231,328300,20518750
Adyar,645,19,1,1,2,Normal Sale,Yes,Commercial,NoSewage,Paved,C,4,2,2,3,307772,61554,8793480
Chrompet,1142,124,1,1,3,Family,No,Commercial,NoSewage,No Access,RM,2,4,3,3,409834,102458,12807300
T Nagar,1674,15,1,1,4,AbNormal,No,House,All Pub,No Access,RH,4,4,4,4,301894,166562,10410130
Adyar,781,164,1,1,2,AdjLand,No,Commercial,NoSewage,Gravel,RH,3,4,3,3,435153,156209,11157780
Adyar,1274,166,2,2,4,Partial,No,Others,All Pub,No Access,RH,3,3,4,3,298722,130691,9335050
Karapakkam,687,2,1,1,2,AdjLand,No,Others,All Pub,No Access,RL,2,3,3,2,212891,100532,5913625
T Nagar,1886,155,2,1,5,Normal Sale,No,Others,All Pub,Gravel,RL,2,4,4,3,469477,249410,14671170
T Nagar,1598,14,1,1,4,Normal Sale,Yes,Commercial,NoSewage,Gravel,RM,3,2,3,3,500603,140169,20024110
Karapakkam,593,113,1,1,2,Family,Yes,House,NoSewage,No Access,RM,3,2,2,2,213650,51794,6474250
Anna Nagar,1815,48,2,1,5,Partial,No,Commercial,NoSewage,No Access,RM,5,3,3,3,534986,178329,19814280
Karapakkam,1121,196,1,1,3,Family,No,Others,NoSewage,Paved,I,4,2,3,3,216418,64340,5849125
Chrompet,1182,4,1,1,3,Family,No,Others,NoSewage,Paved,RM,2,3,2,3,272644,141371,10097940
Anna Nagar,1864,198,2,1,5,Partial,No,Others,ELO,No Access,RM,2,2,2,2,514704,141543,12867590
KK Nagar,2125,198,3,2,5,AbNormal,No,Commercial,NoSewage,Gravel,RL,2,2,2,2,582980,416414,16656560
Chrompet,955,175,1,1,3,AdjLand,No,House,NoSewage,Gravel,RM,3,4,4,4,263080,29231,9743700
Velachery,1625,2,2,1,4,Normal Sale,No,Commercial,NoSewage,Paved,RH,3,4,4,4,466444,274379,13718940
Chrompet,864,124,1,1,3,Normal Sale,Yes,Commercial,ELO,Paved,RM,2,3,2,2,313916,175793,12556650
Chrompet,1183,143,1,1,3,Normal Sale,Yes,Others,NoSewage,Gravel,RH,4,3,3,4,334527,104540,10453960
Karapakkam,938,70,1,1,3,Normal Sale,No,House,All Pub,Gravel,C,2,2,3,2,181985,113126,4918500
Karapakkam,1040,25,1,1,3,AdjLand,Yes,House,ELO,Paved,RL,3,2,3,3,372425,114008,7600500
Chrompet,849,21,1,1,3,AdjLand,Yes,Commercial,NoSewage,Paved,RL,3,2,2,2,314566,58253,11650600
Karapakkam,914,132,1,1,3,Family,Yes,Others,All Pub,No Access,RH,4,3,3,3,247456,113696,6688000
Karapakkam,1156,122,1,1,3,AdjLand,Yes,House,ELO,Gravel,RL,3,4,2,2,447388,125269,8947750
Chrompet,830,191,1,1,3,Family,Yes,Commercial,NoSewage,No Access,RL,3,2,3,3,358342,162883,10858850
KK Nagar,1655,146,2,1,4,Partial,No,House,NoSewage,Gravel,RM,4,4,3,3,314995,127967,9843580
KK Nagar,1693,99,2,1,4,Family,Yes,House,NoSewage,Paved,RL,3,2,4,3,481046,180392,10021800
Chrompet,1014,17,1,1,3,Partial,Yes,Commercial,ELO,Gravel,RL,2,4,4,3,418933,117825,13091650
Chrompet,1148,152,1,1,3,Normal Sale,No,House,ELO,Gravel,RH,4,2,2,3,237195,32717,8179150
KK Nagar,2453,53,4,2,6,Family,No,Others,All Pub,Gravel,RM,2,4,2,3,645265,164748,13729040
KK Nagar,2167,194,3,2,5,AdjLand,No,Others,NoSewage,Paved,RM,2,3,4,3,486612,124772,12477240
Karapakkam,1404,43,2,2,4,Family,Yes,Others,NoSewage,Gravel,RH,3,2,2,2,384153,82319,9146500
T Nagar,1545,17,1,1,4,AdjLand,No,Others,ELO,Gravel,RM,3,4,4,4,559477,139869,13986920
Velachery,1634,93,2,1,4,AbNormal,Yes,House,NoSewage,No Access,RH,2,3,2,2,294404,155380,8177900
Chrompet,1268,40,2,1,4,Partial,Yes,House,NoSewage,Gravel,RM,2,2,4,2,362427,153757,10982650
KK Nagar,1682,38,2,1,4,Normal Sale,Yes,Others,NoSewage,Gravel,RM,3,4,3,3,367175,208066,12239160
Velachery,1787,116,2,1,4,AdjLand,No,Others,NoSewage,Paved,RH,3,3,3,3,347046,106042,9640180
Karapakkam,1337,34,2,2,4,Family,Yes,Others,ELO,Gravel,I,2,4,2,3,397656,182922,7953125
Adyar,695,165,1,1,2,Family,Yes,Others,NoSewage,Paved,A,4,4,2,3,215229,6149,6149410
Anna Nagar,1930,163,2,1,5,Partial,No,House,NoSewage,Gravel,RM,2,3,2,2,457127,143669,13060780
Chrompet,1042,178,1,1,3,AbNormal,Yes,Others,All Pub,Gravel,RL,4,4,3,3,296269,158716,10581040
T Nagar,1613,178,1,1,4,Partial,No,Commercial,NoSewage,Paved,RH,4,4,2,3,438461,315692,17538420
Karapakkam,1270,39,1,1,3,AdjLand,Yes,House,ELO,Gravel,RL,2,2,2,2,393954,196977,8953500
Chrompet,997,114,1,1,3,Partial,Yes,Commercial,ELO,Gravel,RH,2,3,5,3,385798,144674,12056200
Chrompet,726,74,1,1,2,Family,No,House,ELO,No Access,RL,3,3,2,3,163297,37684,6280650
Velachery,1853,73,3,2,5,AdjLand,No,Others,NoSewage,No Access,RH,2,2,4,2,340605,140249,10017780
Velachery,1591,27,2,1,4,AdjLand,No,House,NoSewage,Paved,I,3,3,3,3,309092,158723,8353830
Anna Nagar,1980,48,2,1,5,Family,No,Others,ELO,Gravel,RL,3,2,4,3,515980,200659,14332790
KK Nagar,2226,138,4,2,6,Family,Yes,House,NoSewage,Paved,RL,2,3,4,3,571850,116704,11670400
Adyar,808,88,1,1,3,AdjLand,No,Commercial,ELO,Paved,RM,3,2,4,3,430167,143389,11949085
Karapakkam,1376,181,2,2,4,AdjLand,No,House,NoSewage,No Access,RM,2,2,5,3,356631,129684,8105250
T Nagar,1868,197,2,1,5,Normal Sale,No,Commercial,NoSewage,Gravel,RH,2,2,2,2,781305,340569,20033450
Karapakkam,1311,48,1,1,3,Family,No,House,NoSewage,Paved,RH,4,3,2,3,261290,84919,6532250
Adyar,805,63,1,1,3,AdjLand,Yes,Others,All Pub,Gravel,I,2,3,4,3,321639,35738,8934405
Chrompet,706,100,1,1,2,Normal Sale,No,Others,All Pub,Paved,RM,2,2,4,3,195474,93828,7818970
Karapakkam,1464,184,2,2,4,Normal Sale,No,Others,ELO,Paved,A,4,2,3,3,219546,87819,6272750
Adyar,648,143,1,1,2,Family,No,Commercial,NoSewage,Gravel,RM,4,3,4,4,383846,82994,10374210
Velachery,1917,182,3,2,5,Partial,Yes,House,ELO,No Access,RM,3,4,4,4,354609,144060,11081520
Adyar,1018,66,1,1,3,Family,Yes,Others,All Pub,No Access,RH,3,4,3,3,350106,128986,9213320
Anna Nagar,1694,167,1,1,4,Partial,Yes,Commercial,All Pub,Paved,RH,3,4,3,3,659934,94276,18855250
Chrompet,1112,86,1,1,3,AdjLand,Yes,Commercial,All Pub,No Access,RL,2,3,4,3,360819,200455,13363650
Karapakkam,950,116,1,1,3,Partial,Yes,House,All Pub,No Access,RH,4,2,4,4,249941,153810,6408750
Adyar,1282,149,2,2,4,Normal Sale,Yes,House,NoSewage,No Access,RM,3,3,4,3,393630,43737,10934170
Velachery,1639,73,2,1,4,Partial,No,House,All Pub,Gravel,A,2,3,4,3,259623,119286,7016840
KK Nagar,1501,16,2,1,4,Family,Yes,Others,NoSewage,Paved,RM,3,4,3,3,491357,85453,10681680
Chrompet,765,22,1,1,2,Partial,No,House,NoSewage,No Access,RH,3,3,4,3,166373,74581,5737000
Anna Nagar,1765,117,1,1,4,AdjLand,No,House,NoSewage,Gravel,RM,4,3,3,3,533085,232370,13668850
Karapakkam,1518,104,2,2,4,AdjLand,Yes,Others,ELO,No Access,A,2,4,2,2,296865,138537,6597000
KK Nagar,2417,196,4,2,6,Partial,No,House,NoSewage,Gravel,RL,4,2,2,2,343084,217286,11436120
Karapakkam,1070,109,1,1,3,AbNormal,Yes,House,All Pub,Paved,A,4,2,2,3,242244,100935,5046750
T Nagar,1784,71,1,1,4,AdjLand,Yes,Others,NoSewage,Paved,RL,2,4,4,3,459406,207474,14819560
Chrompet,1188,9,1,1,3,AdjLand,No,Others,ELO,Gravel,RH,3,2,2,2,274330,88178,9797510
Karapakkam,1494,171,2,2,4,Normal Sale,Yes,House,NoSewage,No Access,RL,3,4,4,3,376648,131008,8188000
T Nagar,1810,128,2,1,5,Normal Sale,No,Commercial,NoSewage,No Access,RM,4,4,4,4,715452,347505,20441490
